psu_id,priority_level,mapgrid_nr,lat_degrees,lon_degrees,strat,prot,mpa_nr,psu_depth,subregion_nr,habitat_cd,depth_class,rugosity_class,strat_nr
2139,1,557210,24.6536767,-83.0001636,DT08,1,24,29.8,3,CONT_LR,D3,R4,8
2153,1,615270,24.6784713,-83.036128,DT08,1,24,24.9,3,ISOL_HR,D3,R4,8
2127,1,662662,24.7091588,-83.036627,DT08,1,24,25.9,3,CONT_HR,D3,R4,8
2134,1,638479,24.6938357,-83.0012985,DT08,1,24,23.1,3,CONT_LR,D3,R3,8
2125,1,618157,24.6809056,-82.9892353,DT08,1,24,26.3,3,ISOL_MR,D3,R3,8
2143,1,638363,24.6930605,-83.058598,DT08,1,24,22.3,3,CONT_HR,D3,R4,8
2137,1,677930,24.7202929,-82.9804717,DT08,1,24,22.3,3,CONT_LR,D3,R4,8
2156,1,663702,24.7119566,-82.8558102,DT01,2,26,11.6,4,CONT_LR,D1,R2,9
2163,1,523248,24.646259,-82.8014941,DT01,2,26,2.4,4,ISOL_LR,D1,R2,9
2178,1,626744,24.6874421,-82.9028781,DT02,2,26,9.5,4,CONT_LR,D1,R4,10
2180,1,491945,24.6355433,-82.9371553,DT02,2,26,9.9,4,SPGR_LR,D1,R4,10
2195,1,251520,24.5594409,-82.9226577,DT03,2,0,11.5,4,CONT_LR,D1,RU,11
2194,1,247884,24.5580617,-82.9246109,DT03,2,0,11.7,4,CONT_LR,D1,RU,11
2199,1,527823,24.647019,-82.8504037,DT03,2,26,6.2,4,ISOL_HR,D1,RU,12
2201,1,464379,24.6282574,-82.8708687,DT03,2,26,1.2,4,ISOL_LR,D1,RU,12
2213,1,418570,24.6133988,-82.9738466,DT04,2,0,14.5,4,CONT_LR,D2,R1,13
2207,1,378035,24.601051,-82.9859957,DT04,2,0,17.7,4,SPGR_LR,D2,R1,13
2223,1,674292,24.7190921,-82.8628349,DT04,2,26,16.5,4,CONT_LR,D2,R2,14
2236,1,672355,24.7178178,-82.8563913,DT04,2,26,14.8,4,CONT_LR,D2,R2,14
2267,1,260113,24.562707,-82.9143167,DT05,2,0,13.8,4,CONT_LR,D2,R4,15
2265,1,679593,24.7235995,-82.7892621,DT05,2,0,16.4,4,ISOL_LR,D2,R3,15
2266,1,369128,24.5982191,-82.9953313,DT05,2,0,21.9,4,REEF_MR,D2,R4,15
2282,1,394593,24.6067351,-82.9307863,DT05,2,26,15.1,4,ISOL_MR,D2,R3,16
2271,1,320986,24.5832772,-82.9644884,DT05,2,26,13.8,4,CONT_LR,D2,R3,16
2284,1,396067,24.6070339,-82.9426408,DT05,2,26,13.6,4,ISOL_MR,D2,R3,16
2297,1,211744,24.5438174,-82.9441334,DT06,2,0,21.7,4,ISOL_MR,D2,RU,17
2302,1,239413,24.5544381,-82.9605839,DT06,2,0,18.5,4,CONT_MR,D2,RU,17
2303,1,251495,24.559283,-82.9349943,DT06,2,0,14.9,4,CONT_LR,D2,RU,17
2312,1,676209,24.7202674,-82.8771844,DT06,2,26,20.4,4,CONT_MR,D2,RU,18
