psu_id,priority_level,mapgrid_nr,lat_degrees,lon_degrees,strat,prot,mpa_nr,psu_depth,subregion_nr,habitat_cd,depth_class,rugosity_class,strat_nr
2104,1,605379,24.6715098,-83.0829428,DT05,1,24,21.5,3,CONT_MR,D2,R3,6
2105,1,646121,24.6982407,-83.0428725,DT05,1,24,21.6,3,CONT_HR,D2,R4,6
2106,1,566434,24.6550922,-83.0950178,DT05,1,24,21.4,3,CONT_HR,D2,R3,6
2107,1,613837,24.6773198,-83.0543874,DT05,1,24,18.2,3,ISOL_HR,D2,R3,6
2108,1,655140,24.7040333,-83.0484022,DT05,1,24,21.5,3,CONT_HR,D2,R4,6
2109,1,610331,24.6750093,-83.0583015,DT05,1,24,19.2,3,CONT_LR,D2,R3,6
2110,1,617305,24.6794271,-83.0652902,DT05,1,24,20.4,3,CONT_LR,D2,R4,6
2111,1,617991,24.6797967,-83.0712243,DT05,1,24,19.5,3,CONT_LR,D2,R4,6
2112,1,575714,24.6579647,-83.0832117,DT05,1,24,19.2,3,ISOL_MR,D2,R4,6
2113,1,648212,24.6995474,-83.0463524,DT05,1,24,20.4,3,CONT_HR,D2,R4,6
2114,1,631443,24.6892435,-83.0071538,DT07,1,24,25.2,3,CONT_LR,D3,R2,7
2115,1,611829,24.6765676,-83.0099149,DT07,1,24,25.4,3,CONT_LR,D3,R1,7
2116,1,628594,24.6871662,-83.0273765,DT07,1,24,24.2,3,ISOL_MR,D3,R2,7
2117,1,622985,24.6835225,-83.0297877,DT07,1,24,24.2,3,CONT_HR,D3,R1,7
2118,1,625148,24.6852544,-83.0016555,DT07,1,24,22.5,3,CONT_LR,D3,R1,7
2119,1,636415,24.692757,-82.9805301,DT07,1,24,27.9,3,CONT_LR,D3,R2,7
2120,1,639866,24.694626,-83.0097105,DT07,1,24,23.6,3,ISOL_MR,D3,R2,7
2121,1,608375,24.6746528,-82.984196,DT07,1,24,25.9,3,CONT_LR,D3,R2,7
2122,1,596889,24.6673927,-82.987045,DT07,1,24,29.6,3,CONT_LR,D3,R1,7
2123,1,654489,24.7038438,-83.0291288,DT08,1,24,28.1,3,CONT_HR,D3,R4,8
2124,1,652434,24.7026166,-83.0197209,DT08,1,24,28.9,3,CONT_LR,D3,R3,8
2125,1,618157,24.6809056,-82.9892353,DT08,1,24,26.3,3,ISOL_MR,D3,R3,8
2126,1,628533,24.6867561,-83.0575064,DT08,1,24,22.5,3,CONT_LR,D3,R3,8
2127,1,662662,24.7091588,-83.036627,DT08,1,24,25.9,3,CONT_HR,D3,R4,8
2128,1,621641,24.6830177,-83.0001376,DT08,1,24,23.3,3,CONT_LR,D3,R4,8
2129,1,655161,24.7041746,-83.0380282,DT08,1,24,25.3,3,CONT_HR,D3,R3,8
2130,1,546210,24.6502667,-83.0188776,DT08,1,24,26.6,3,ISOL_MR,D3,R4,8
2131,1,554043,24.6525431,-83.0174325,DT08,1,24,27.5,3,ISOL_MR,D3,R4,8
2132,1,563485,24.6554754,-83.0006862,DT08,1,24,30,3,CONT_LR,D3,R4,8
2133,1,677936,24.7203321,-82.9775072,DT08,1,24,26.4,3,CONT_MR,D3,R4,8
2134,1,638479,24.6938357,-83.0012985,DT08,1,24,23.1,3,CONT_LR,D3,R3,8
2135,1,630611,24.6879197,-83.0713586,DT08,1,24,25.6,3,CONT_HR,D3,R3,8
2136,1,637054,24.6927944,-83.0116574,DT08,1,24,22.8,3,CONT_LR,D3,R3,8
2137,1,677930,24.7202929,-82.9804717,DT08,1,24,22.3,3,CONT_LR,D3,R4,8
2138,1,621678,24.6832601,-82.9818621,DT08,1,24,27.2,3,CONT_LR,D3,R4,8
2139,1,557210,24.6536767,-83.0001636,DT08,1,24,29.8,3,CONT_LR,D3,R4,8
2140,1,586657,24.6630101,-82.9770964,DT08,1,24,31.6,3,REEF_HR,D3,R4,8
2141,1,670029,24.7142101,-83.0302852,DT08,1,24,28.8,3,CONT_HR,D3,R3,8
2142,1,628544,24.6868305,-83.0520732,DT08,1,24,22.8,3,CONT_LR,D3,R3,8
2143,1,638363,24.6930605,-83.058598,DT08,1,24,22.3,3,CONT_HR,D3,R4,8
2144,1,580186,24.6603804,-83.0052099,DT08,1,24,24.8,3,CONT_HR,D3,R4,8
2145,1,574379,24.658529,-83.0086379,DT08,1,24,24.9,3,ISOL_HR,D3,R4,8
2146,1,666734,24.7121336,-83.0169096,DT08,1,24,31.8,3,CONT_HR,D3,R4,8
2147,1,546219,24.6503263,-83.0144334,DT08,1,24,23.7,3,ISOL_MR,D3,R4,8
2148,1,653931,24.7042604,-82.9639119,DT08,1,24,32.9,3,CONT_LR,D3,R4,8
2149,1,597639,24.6677393,-82.9949541,DT08,1,24,22.7,3,CONT_LR,D3,R4,8
2150,1,658645,24.706844,-83.007436,DT08,1,24,29.6,3,CONT_HR,D3,R4,8
2151,1,613262,24.6777138,-82.9916547,DT08,1,24,27.9,3,ISOL_MR,D3,R4,8
2152,1,631413,24.6890446,-83.0219723,DT08,1,24,23.7,3,CONT_LR,D3,R3,8
2153,1,615270,24.6784713,-83.036128,DT08,1,24,24.9,3,ISOL_HR,D3,R4,8
2154,1,640464,24.6943804,-83.0610901,DT08,1,24,24.2,3,CONT_HR,D3,R4,8
2155,1,660620,24.7077244,-83.0425331,DT08,1,24,22.9,3,CONT_HR,D3,R4,8
2156,1,663702,24.7119566,-82.8558102,DT01,2,26,11.6,4,CONT_LR,D1,R2,9
2157,1,350485,24.5937958,-82.8831924,DT01,2,26,8.2,4,CONT_LR,D1,R2,9
2158,1,490549,24.6360282,-82.8630825,DT01,2,26,3.5,4,CONT_LR,D1,R2,9
2159,1,354818,24.5952914,-82.8718594,DT01,2,26,6.8,4,ISOL_LR,D1,R2,9
2160,1,363477,24.5977215,-82.894113,DT01,2,26,4,4,CONT_LR,D1,R2,9
2161,1,357632,24.5957479,-82.9074135,DT01,2,26,11.5,4,ISOL_MR,D1,R2,9
2162,1,326627,24.5859123,-82.8998593,DT01,2,26,8.4,4,CONT_LR,D1,R2,9
2163,1,523248,24.646259,-82.8014941,DT01,2,26,2.4,4,ISOL_LR,D1,R2,9
2164,1,638222,24.6961552,-82.7814579,DT01,2,26,8.2,4,SPGR_LR,D1,R2,9
2165,1,459881,24.6274617,-82.8254232,DT01,2,26,7.9,4,ISOL_LR,D1,R2,9
2166,1,560756,24.6571387,-82.7976986,DT01,2,26,4.2,4,ISOL_MR,D1,R2,9
2167,1,651479,24.7044415,-82.8057895,DT01,2,26,3.2,4,CONT_LR,D1,R2,9
2168,1,452028,24.6238281,-82.9354932,DT01,2,26,3.8,4,CONT_LR,D1,R2,9
2169,1,400661,24.6090172,-82.8932956,DT01,2,26,11.1,4,ISOL_MR,D1,R2,9
