"DRM_ID","psu_id","lat_degrees.x","lat_degrees.y","lon_degrees.x","lon_degrees.y","mpa_nr.x","mpa_nr.y","subregion_nr.x","subregion_nr.y","habitat_cd.x","habitat_cd.y","psu_depth.x","psu_depth.y","prot.x","prot.y","depth_class.x","depth_class.y","rugosity_class.x","rugosity_class.y","strat.x","strat.y","Priority","Status","mapgrid_nr","zone_nr","lat_deg","lon_deg","psu_vrel","Shape_Leng","Shape_Area","region","priority_level","strat_nr","survey_type"
1623,NA,24.608955,NA,-82.894176,NA,26,NA,4,NA,"ISOL_MR",NA,6.4,NA,2,NA,"D1",NA,"R4",NA,"DT02",NA,"Primary","Not surveyed",400659,4,24.609005,-82.894283,0.4557,220.453507,3037.460849,"DRY TORT",NA,NA,NA
1624,2186,24.618285,24.6182849,-82.945284,-82.9452836,26,26,4,4,"ISOL_MR","ISOL_MR",3.8,3.8,2,2,"D1","D1","R3","R3","DT02","DT02","Primary","Not surveyed",433756,4,24.618285,-82.945284,0.3343,220.464265,3037.757302,"DRY TORT",1,10,"Fish"
1625,2183,24.619022,24.619022,-82.923074,-82.9230743,26,26,4,4,"ISOL_HR","ISOL_HR",5.9,5.9,2,2,"D1","D1","R3","R3","DT02","DT02","Primary","Not surveyed",435315,4,24.619022,-82.923074,0.3856,220.467865,3037.856526,"DRY TORT",1,10,"Fish"
1626,NA,24.623348,NA,-82.935993,NA,26,NA,4,NA,"CONT_LR",NA,3.4,NA,2,NA,"D1",NA,"R2",NA,"DT01",NA,"Primary","Not surveyed",450501,4,24.623371,-82.93598,0.2269,220.474063,3038.027338,"DRY TORT",NA,NA,NA
1627,2179,24.624546,24.6245458,-82.949825,-82.9498249,26,26,4,4,"SPGR_LR","SPGR_LR",7.9,7.9,2,2,"D1","D1","R3","R3","DT02","DT02","Primary","Not surveyed",455051,4,24.624546,-82.949825,0.3678,220.474478,3038.038771,"DRY TORT",1,10,"Fish"
1628,NA,24.624751,NA,-82.936507,NA,26,NA,4,NA,"CONT_LR",NA,3.1,NA,2,NA,"D1",NA,"R2",NA,"DT01",NA,"Primary","Not surveyed",455078,4,24.624718,-82.936494,0.2351,220.476477,3038.093862,"DRY TORT",NA,NA,NA
1629,NA,24.634985,NA,-82.874433,NA,26,NA,4,NA,"CONT_LR",NA,4.1,NA,2,NA,"D1",NA,"R3",NA,"DT02",NA,"Primary","Not surveyed",487442,4,24.634984,-82.874426,0.2717,220.500916,3038.767424,"DRY TORT",NA,NA,NA
1630,2174,24.635052,24.635052,-82.868994,-82.8689945,26,26,4,4,"CONT_LR","CONT_LR",3.4,3.4,2,2,"D1","D1","R2","R2","DT01","DT01","Primary","Not surveyed",487453,4,24.635052,-82.868994,0.2174,220.501497,3038.783442,"DRY TORT",1,9,"Fish"
1631,NA,24.63547,NA,-82.943572,NA,26,NA,4,NA,"CONT_LR",NA,17.6,NA,2,NA,"D2",NA,"R2",NA,"DT04",NA,"Primary","Not surveyed",491932,4,24.635461,-82.943574,0.2072,220.49436,3038.586741,"DRY TORT",NA,NA,NA
1632,NA,24.636097,NA,-82.82061,NA,26,NA,4,NA,"SPGR_LR",NA,7.9,NA,2,NA,"D1",NA,"RU",NA,"DT03",NA,"Primary","Not surveyed",489093,4,24.636097,-82.82061,-9,220.508359,3038.972574,"DRY TORT",NA,NA,NA
1633,NA,24.637502,NA,-82.923829,NA,26,NA,4,NA,"ISOL_LR",NA,5.3,NA,2,NA,"D1",NA,"R3",NA,"DT02",NA,"Primary","Not surveyed",498160,4,24.63752,-82.923851,0.3163,220.500016,3038.742643,"DRY TORT",NA,NA,NA
1634,2197,24.639212,24.6392121,-82.861154,-82.8611542,26,26,4,4,"ISOL_MR","ISOL_MR",9.8,9.8,2,2,"D1","D1","RU","RU","DT03","DT03","Primary","Not surveyed",501387,4,24.639212,-82.861154,-9,220.509635,3039.007751,"DRY TORT",1,12,"Fish"
1635,2225,24.644036,24.6440355,-82.943707,-82.9437069,26,26,4,4,"CONT_LR","CONT_LR",16.1,16.1,2,2,"D2","D2","R2","R2","DT04","DT04","Primary","Not surveyed",521402,4,24.644036,-82.943707,0.2375,220.509376,3039.000594,"DRY TORT",1,14,"Fish"
1636,2286,24.647735,24.6477353,-82.936849,-82.9368495,26,26,4,4,"CONT_LR","CONT_LR",14.3,14.3,2,2,"D2","D2","R3","R3","DT05","DT05","Primary","Not surveyed",533880,4,24.647735,-82.936849,0.3125,220.516428,3039.195002,"DRY TORT",1,16,"Fish"
1637,2230,24.64779,24.6477899,-82.786698,-82.7866981,26,26,4,4,"CONT_LR","CONT_LR",17.2,17.2,2,2,"D2","D2","R2","R2","DT04","DT04","Primary","Not surveyed",527952,4,24.64779,-82.786698,0.201,220.532258,3039.631378,"DRY TORT",1,14,"Fish"
1638,2200,24.648844,24.648657,-82.8274,-82.8272131,26,26,4,4,"CONT_LR","CONT_LR",7.7,7.7,2,2,"D1","D1","RU","RU","DT03","DT03","Primary","Not surveyed",532544,4,24.648657,-82.827213,-9,220.529516,3039.555792,"DRY TORT",1,12,"Fish"
1639,2279,24.649629,24.6496295,-82.929964,-82.9299639,26,26,4,4,"CONT_LR","CONT_LR",13.4,13.4,2,2,"D2","D2","R3","R3","DT05","DT05","Primary","Not surveyed",540142,4,24.649629,-82.929964,0.2662,220.520676,3039.312084,"DRY TORT",1,16,"Fish"
1640,2244,24.650947,24.6510079,-82.856301,-82.8563897,26,26,4,4,"CONT_MR","CONT_MR",12.6,12.6,2,2,"D2","D2","R2","R2","DT04","DT04","Primary","Not surveyed",541853,4,24.651008,-82.85639,0.1903,220.530848,3039.59249,"DRY TORT",1,14,"Fish"
1641,NA,24.655519,NA,-82.818405,NA,26,NA,4,NA,"ISOL_MR",NA,4.8,NA,2,NA,"D1",NA,"R4",NA,"DT02",NA,"Primary","Not surveyed",556012,4,24.655535,-82.818422,0.485,220.54254,3039.914814,"DRY TORT",NA,NA,NA
1642,2189,24.656546,24.6565457,-82.846592,-82.8465925,26,26,4,4,"ISOL_MR","ISOL_MR",6,6,2,2,"D1","D1","R3","R3","DT02","DT02","Primary","Not surveyed",560657,4,24.656546,-82.846592,0.2767,220.541447,3039.884686,"DRY TORT",1,10,"Fish"
1643,NA,24.6567,NA,-82.797699,NA,26,NA,4,NA,"ISOL_MR",NA,3.5,NA,2,NA,"D1",NA,"R2",NA,"DT01",NA,"Primary","Not surveyed",559186,4,24.656687,-82.797692,0.2019,220.546804,3040.03235,"DRY TORT",NA,NA,NA
1644,2188,24.65718,24.6571797,-82.868336,-82.868336,26,26,4,4,"ISOL_HR","ISOL_HR",9,9,2,2,"D1","D1","R4","R4","DT02","DT02","Primary","Not surveyed",563753,4,24.65718,-82.868336,0.5,220.54022,3039.850849,"DRY TORT",1,10,"Fish"
1645,NA,24.65933,NA,-82.840539,NA,26,NA,4,NA,"CONT_LR",NA,7.6,NA,2,NA,"D1",NA,"R2",NA,"DT01",NA,"Primary","Not surveyed",570089,4,24.659326,-82.840706,0.2465,220.547025,3040.038449,"DRY TORT",NA,NA,NA
1646,2280,24.661012,24.6610287,-82.848994,-82.8491283,26,26,4,4,"ISOL_MR","ISOL_MR",12.6,12.6,2,2,"D2","D2","R3","R3","DT05","DT05","Primary","Not surveyed",576188,4,24.661029,-82.849128,0.3636,220.54921,3040.098693,"DRY TORT",1,16,"Fish"
1647,2187,24.664274,24.6642739,-82.914382,-82.914382,26,26,4,4,"ISOL_LR","ISOL_LR",5.6,5.6,2,2,"D1","D1","R3","R3","DT02","DT02","Primary","Not surveyed",587978,4,24.664274,-82.914382,0.3983,220.547954,3040.064069,"DRY TORT",1,10,"Fish"
1648,NA,24.668196,NA,-82.887252,NA,26,NA,4,NA,"ISOL_MR",NA,8.5,NA,2,NA,"D1",NA,"R3",NA,"DT02",NA,"Primary","Not surveyed",596177,4,24.668228,-82.887273,0.3052,220.557754,3040.33425,"DRY TORT",NA,NA,NA
1649,2221,24.668658,24.6686577,-82.778103,-82.778103,26,26,4,4,"CONT_LR","CONT_LR",14.6,14.6,2,2,"D2","D2","R2","R2","DT04","DT04","Primary","Not surveyed",594578,4,24.668658,-82.778103,0.2306,220.569614,3040.661214,"DRY TORT",1,14,"Fish"
1650,2191,24.670287,24.670287,-82.792947,-82.7929468,26,26,4,4,"CONT_LR","CONT_LR",4.3,4.3,2,2,"D1","D1","R3","R3","DT02","DT02","Primary","Not surveyed",598048,4,24.670287,-82.792947,0.2643,220.570926,3040.697392,"DRY TORT",1,10,"Fish"
1651,2176,24.674853,24.674853,-82.826113,-82.8261126,26,26,4,4,"ISOL_MR","ISOL_MR",8.1,8.1,2,2,"D1","D1","R3","R3","DT02","DT02","Primary","Not surveyed",605899,4,24.674853,-82.826113,0.3621,220.575539,3040.82459,"DRY TORT",1,10,"Fish"
