DRM_ID,Priority,Latitude,Longitude,Status,grid_id_50,mpa_nr,subreg_nr,zone_nr,habclass,lat_deg,lon_deg,psu_depth,psu_vrel,Shape_Leng,Shape_Area,region,prot,depth_clas,rugosity_c,strat
1635,Primary,24.644036,-82.943707,Not surveyed,521402,26,4,4,CONT_LR,24.644036,-82.943707,16.1,0.2375,220.509376,3039.000594,DRY TORT,2,D2,R2,DT04
1636,Primary,24.647735,-82.936849,Not surveyed,533880,26,4,4,CONT_LR,24.647735,-82.936849,14.3,0.3125,220.516428,3039.195002,DRY TORT,2,D2,R3,DT05
1637,Primary,24.64779,-82.786698,Not surveyed,527952,26,4,4,CONT_LR,24.64779,-82.786698,17.2,0.201,220.532258,3039.631378,DRY TORT,2,D2,R2,DT04
1638,Primary,24.648844,-82.8274,Not surveyed,532544,26,4,4,CONT_LR,24.648657,-82.827213,7.7,-9,220.529516,3039.555792,DRY TORT,2,D1,RU,DT03
1639,Primary,24.649629,-82.929964,Not surveyed,540142,26,4,4,CONT_LR,24.649629,-82.929964,13.4,0.2662,220.520676,3039.312084,DRY TORT,2,D2,R3,DT05
1640,Primary,24.650947,-82.856301,Not surveyed,541853,26,4,4,CONT_MR,24.651008,-82.85639,12.6,0.1903,220.530848,3039.59249,DRY TORT,2,D2,R2,DT04
1641,Primary,24.655519,-82.818405,Not surveyed,556012,26,4,4,ISOL_MR,24.655535,-82.818422,4.8,0.485,220.54254,3039.914814,DRY TORT,2,D1,R4,DT02
1642,Primary,24.656546,-82.846592,Not surveyed,560657,26,4,4,ISOL_MR,24.656546,-82.846592,6,0.2767,220.541447,3039.884686,DRY TORT,2,D1,R3,DT02
1643,Primary,24.6567,-82.797699,Not surveyed,559186,26,4,4,ISOL_MR,24.656687,-82.797692,3.5,0.2019,220.546804,3040.03235,DRY TORT,2,D1,R2,DT01
1644,Primary,24.65718,-82.868336,Not surveyed,563753,26,4,4,ISOL_HR,24.65718,-82.868336,9,0.5,220.54022,3039.850849,DRY TORT,2,D1,R4,DT02
1645,Primary,24.65933,-82.840539,Not surveyed,570089,26,4,4,CONT_LR,24.659326,-82.840706,7.6,0.2465,220.547025,3040.038449,DRY TORT,2,D1,R2,DT01
1646,Primary,24.661012,-82.848994,Not surveyed,576188,26,4,4,ISOL_MR,24.661029,-82.849128,12.6,0.3636,220.54921,3040.098693,DRY TORT,2,D2,R3,DT05
1647,Primary,24.664274,-82.914382,Not surveyed,587978,26,4,4,ISOL_LR,24.664274,-82.914382,5.6,0.3983,220.547954,3040.064069,DRY TORT,2,D1,R3,DT02
1648,Primary,24.668196,-82.887252,Not surveyed,596177,26,4,4,ISOL_MR,24.668228,-82.887273,8.5,0.3052,220.557754,3040.33425,DRY TORT,2,D1,R3,DT02
1649,Primary,24.668658,-82.778103,Not surveyed,594578,26,4,4,CONT_LR,24.668658,-82.778103,14.6,0.2306,220.569614,3040.661214,DRY TORT,2,D2,R2,DT04
1650,Primary,24.670287,-82.792947,Not surveyed,598048,26,4,4,CONT_LR,24.670287,-82.792947,4.3,0.2643,220.570926,3040.697392,DRY TORT,2,D1,R3,DT02
1651,Primary,24.674853,-82.826113,Not surveyed,605899,26,4,4,ISOL_MR,24.674853,-82.826113,8.1,0.3621,220.575539,3040.82459,DRY TORT,2,D1,R3,DT02
1652,Primary,24.676261,-82.784139,Not surveyed,607380,26,4,4,ISOL_LR,24.676261,-82.784139,11.4,0.246,220.582251,3041.009672,DRY TORT,2,D1,R2,DT01
1653,Primary,24.67839,-82.904717,Not surveyed,612740,26,4,4,CONT_LR,24.67839,-82.904717,9.5,0.2714,220.573562,3040.770091,DRY TORT,2,D1,R3,DT02
1654,Primary,24.685276,-82.785256,Not surveyed,621374,26,4,4,ISOL_MR,24.685276,-82.785256,6.3,0.2865,220.597988,3041.443592,DRY TORT,2,D1,R3,DT02
1655,Primary,24.689157,-82.904231,Not surveyed,629545,26,4,4,SPGR_LR,24.689229,-82.904387,10,0.326,220.592673,3041.297034,DRY TORT,2,D1,R3,DT02
